620814,CVI-FFREN01,17258.35,"Renaut Automotive, LLC",NA,NA,18530.04,NA,5225,0.302752001,5/5/2023,8/10/2022,43046,OH,dodge,1500,1500,229125,2015,0.391566265,0.078313253,72879.51807,3.327339357,0.138554217,0.06626506,10.39090909,66.26791045,5.633333333,12.75454545,8.092857143,0.605033456,0.63253012,0.210843373,0.28313253,0,8,268,0.281974567,0.718025433,0,0,0,4,1,4,3,1,4,3,4,4,3,4,1,1,4,4,1,1,2,2,3,4,NA,2,2,4,4,3,2,1,3,2,1,4,3,2,1,3,7,4,2,8,6,6,3,4,5,2,1,1,86
610927,CVI-FFKEP01,2317.42,"Keys Please Auto Sales, Inc.",NA,NA,5887,NA,2512.1,1.084007215,11/30/2020,5/5/2020,30116,GA,dodge,ram,ram,225645,2005,0.374531835,0.169475655,63055.52434,3.488638527,0.178838951,0.06741573,9.147222222,57.51751208,3.469620253,17.94789916,7.258064516,0.716586549,0.714419476,0.130149813,0.259363296,0.010299625,18,209,0.426719891,0.573280109,0,1,0,4,2,4,3,3,4,3,4,2,3,4,2,2,3,4,3,4,1,2,3,1,NA,1,3,4,1,2,1,1,3,1,1,3,5,2,1,5,1,1,1,1,6,6,3,4,8,4,4,1,79
608031,CVI-FFGOS01,6019.32,GO SMART,NA,NA,6192.34,NA,5756.76,0.956380455,3/31/2021,4/16/2019,33897,FL,dodge,durango,durango,224579,2006,0.309052334,0.168316832,44175.8133,1.701897448,0.338048091,0.031117397,10.09545455,35.02009009,4.234883721,9.397619048,5.612962963,0.707980533,0.799151344,0.107496464,0.217821782,0.013437058,17,715,0.929658255,0.070341745,1,0,0,3,2,2,1,4,2,3,2,3,2,1,2,4,3,3,3,4,4,4,1,1,NA,3,3,4,1,3,2,1,8,3,2,9,10,4,2,8,3,2,1,2,6,6,3,4,8,4,4,0,80
614379,CVI-FFHDT02,9153.93,HD TRUCK CENTER,NA,NA,9621.95,NA,7000,0.764698878,4/27/2023,8/25/2021,32008,FL,dodge,1500,ram 1500,222448,2005,0.400826446,0.140495868,49569.42149,2.81707989,0.070247934,0.016528926,8.35,44.34550562,3.625,14.05925926,4.916666667,0.703304693,0.727272727,0.17768595,0.210743802,0,18,610,0.727503261,0.272496739,1,0,0,4,1,3,3,1,1,2,3,2,3,1,2,2,4,3,1,4,3,3,2,2,NA,3,3,4,2,3,2,1,7,3,2,8,8,3,2,7,4,2,1,5,6,6,3,4,8,4,4,1,79
612407,CVI-FFLAT07,19541.96,LARA'S TRUCKS INC.,NA,NA,20123.67,NA,581.71,0,NA,1/22/2021,30813,GA,dodge,3500,3500,221466,2012,0.400378609,0.164694747,60999.52674,1.572633693,0.139611926,0.084713677,8.260893855,51.25746141,3.239779006,8.402880658,7.028708134,0.807115059,0.762896356,0.103170847,0.249408424,0.01845717,11,NA,0.028906755,0.971093245,0,1,0,4,2,4,1,1,4,2,3,2,2,3,4,3,3,4,4,2,NA,1,4,4,NA,1,1,4,4,1,1,1,NA,NA,NA,NA,1,1,1,1,8,4,2,8,6,6,3,4,6,3,3,1,0
618912,CVI-FFMCC03,8807.26,Marietta Car Center,NA,NA,9334.2,NA,4408,0.500496182,2/16/2023,2/23/2022,30132,GA,dodge,dakota,dakota,218770,2005,0.402080507,0.151967436,64657.25916,2.169679343,0.18724559,0.106739032,9.18559322,56.45882026,3.480334728,9.338339921,7.461048689,0.789742953,0.724106739,0.112618725,0.259611036,0.02578019,18,358,0.472241863,0.527758137,0,1,0,4,2,4,2,3,4,3,4,2,2,4,4,2,3,4,4,4,2,2,3,2,NA,2,2,4,2,2,1,1,4,2,1,5,5,2,1,5,4,2,1,5,6,6,3,4,8,4,4,0,0
620512,CVI-FFGUF01,2666.21,Gulfstream Motor Credit,NA,NA,11056.73,NA,3185,1.194579572,4/5/2023,7/29/2022,33030,FL,dodge,ram,ram,216245,2005,0.197982346,0.259142497,36785.18285,2.443177569,0.118537201,0.033417402,11.58867925,32.64859903,4.689473684,28.79733333,7.306849315,0.766468412,0.716267339,0.044136192,0.117906683,0.011349306,18,250,0.288059851,0.711940149,1,0,0,1,4,1,2,1,2,4,1,3,4,4,3,2,1,1,3,4,2,2,3,2,NA,2,4,4,1,2,1,1,3,2,1,3,3,2,1,3,2,1,1,1,6,6,3,4,8,4,4,1,79
605476,FPVI-FFGTM02,3887.71,GT  Motorsports,NA,NA,4553.04,NA,5307.8899,1.365299855,1/31/2020,12/14/2017,32607,FL,dodge,1500,ram 1500,215300,1999,0.224518888,0.137562366,67383.82038,3.693454814,0.094084105,0.032786885,12.62173913,67.91290323,7.644642857,37.8938326,6.696969697,0.639741779,0.761225944,0.089807555,0.235210264,0.002851033,24,778,1.165790307,-0.165790307,1,0,0,2,1,4,4,1,2,4,4,4,4,3,1,3,2,3,1,4,4,4,1,1,NA,2,4,4,1,3,2,1,8,4,2,9,12,5,3,9,2,1,1,1,6,6,3,4,8,4,4,1,79
613836,CVI-FFHDT01,10125.37,HD TRUCK CENTER,NA,NA,11188.95,NA,6630,0.654790887,4/5/2023,6/30/2021,32667,FL,dodge,1500,ram 1500,215252,2007,0.380952381,0.105820106,78175.66138,5.581229529,0.058201058,0.037037037,11.85714286,73.04635762,5.22,14.22,5.616666667,0.537427946,0.62962963,0.238095238,0.26984127,0,16,644,0.592548899,0.407451101,1,0,0,4,1,4,4,1,3,4,4,4,3,2,1,1,4,4,1,4,4,3,2,2,NA,3,2,4,3,3,2,1,7,3,2,8,6,3,2,6,5,3,2,6,6,6,3,4,8,4,4,1,79
610471,CVI-FFFAC03,6222.99,FACILDEAL AUTO CENTER,NA,NA,6565.1,NA,8648.41,1.38975155,8/18/2022,12/6/2019,33823,FL,dodge,2500,ram 2500,212490,2011,0.349187237,0.175797712,53423.41963,3.049709675,0.118603251,0.028898254,9.6625,47.77798239,3.964814815,19.57924528,6.103030303,0.701763942,0.761589404,0.143287176,0.240216737,0.007224564,12,986,1.317331038,-0.317331038,1,0,0,4,2,3,3,1,2,3,3,2,4,2,2,3,4,3,2,3,4,4,1,1,NA,3,4,4,1,4,2,1,10,4,2,10,14,6,3,10,3,2,1,3,6,6,3,4,7,3,3,1,74
604838,FPVI-FFGTM01,11201.21,GT  Motorsports,NA,NA,10878.59,NA,0,0,NA,8/29/2017,32601,FL,dodge,1500,ram 1500,212300,2006,0.139633286,0.105782793,44385.4725,2.301591372,0.098730606,0.014104372,9.62,41.14480769,6.007692308,13.42574257,5.71875,0.736926863,0.767277856,0.071932299,0.227080395,0,17,NA,0,1,1,0,0,1,1,2,2,1,1,3,3,4,3,2,3,3,2,3,1,4,NA,1,4,2,NA,1,1,4,3,1,1,1,NA,NA,NA,NA,1,1,1,1,5,3,2,7,6,6,3,4,8,4,4,1,79
