"","manufacturer","model","year","average_price"
"151","audi","a4",2013,13051.4945054945
"152","audi","a4",2014,14273.1355932203
"153","audi","a4",2015,16439.7671232877
"154","audi","a4",2016,18102.0909090909
"155","audi","a4",2017,25656.7916666667
"156","audi","a4",2018,31406.9198813056
"157","audi","a4",2019,38551.1842105263
"158","audi","a4",2020,36047.1428571429
"159","audi","a5",2008,10391.4285714286
"160","audi","a5",2009,9152.0625
"161","audi","a5",2010,10050
"162","audi","a5",2011,10618.8235294118
"163","audi","a5",2012,14265.0172413793
"164","audi","a5",2013,17150.4482758621
"165","audi","a5",2014,19044.8888888889
"166","audi","a5",2015,22568.2608695652
"167","audi","a5",2016,22990
"168","audi","a5",2017,17198.75
"169","audi","a5",2018,32339.6392405063
"170","audi","a5",2019,36127.7
"171","audi","a6",1996,6565.66666666667
"172","audi","a6",2001,4177.71428571429
"173","audi","a6",2002,4170
"174","audi","a6",2003,5457.14285714286
"175","audi","a6",2004,5999
"176","audi","a6",2005,6688.33333333333
"177","audi","a6",2006,7233.14285714286
"178","audi","a6",2007,6219.83333333333
"179","audi","a6",2008,6430.52173913043
"180","audi","a6",2009,8824.63636363636
"181","audi","a6",2010,13970.5555555556
"182","audi","a6",2011,10578.65
"183","audi","a6",2012,13426.7222222222
"184","audi","a6",2013,17045.3770491803
"185","audi","a6",2014,16920
"186","audi","a6",2015,19311.4814814815
"187","audi","a6",2016,24852.3333333333
"188","audi","a6",2017,30909.6466666667
"189","audi","a6",2018,30140.5503355705
"190","audi","a6",2019,41073.7142857143
"191","audi","a6",2020,42413.8514851485
"192","audi","a7",2012,19260.0833333333
"193","audi","a7",2013,22002.7857142857
"194","audi","a7",2014,26817.7857142857
"195","audi","a7",2015,31925.7142857143
"196","audi","a7",2016,34881.6875
"197","audi","a7",2017,41932.0175438596
"198","audi","a7",2018,47628
"199","audi","a8",1998,6995
"200","audi","a8",2003,6000
"201","audi","a8",2004,6162.5
"202","audi","a8",2005,7512.25
"203","audi","a8",2006,9235
"204","audi","a8",2007,9329.66666666667
"205","audi","a8",2008,7960
"206","audi","a8",2009,9308.625
"207","audi","a8",2010,9500
"208","audi","a8",2011,17716.1176470588
"209","audi","a8",2012,19585
"210","audi","a8",2013,21369.9347826087
"211","audi","a8",2014,26900.65
"212","audi","a8",2015,32983.7
"213","audi","a8",2016,34917.4
"214","audi","a8",2017,36040.75
"215","audi","a8",2018,45990
"216","audi","al",2001,5447.5
"217","audi","al",2002,4000
"218","audi","al",2003,4065
"219","audi","al",2004,7872.5
"220","audi","al",2005,4500
"221","audi","al",2013,18210.4516129032
"222","audi","al",2014,20826.9777777778
